Table 1
ID	TERM	HIT	LINK	L FT	C FT	TALLY 0	IL YR	IU YR	BL YR	BU YR	COLLECTOR	TITLE	AID 0		AID 1																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/816704564	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/86119155	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=61&fileloc=61_archivesnyplorgmss2780ead	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/34233774	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/270743250	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00660xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00160xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=397&fileloc=397_ss3amazonawscomharvardeadbak00016xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=322&fileloc=322_ssearchamphilsocorgcollectionsdataeadmssbf85inventory14eadxml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=418&fileloc=418_ss3amazonawscomharvardeadhou02676xml	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=436&fileloc=436_sdlalibraryupennedudlapacscleadhtmlrows300fqrepository_facet3a22university20of20pennsylvania3a20kislak20center20for20special20collections2c20rare20books20and20manuscripts22idpacscl_upenn_rbml_mscoll900	oclc	eee	eee	eee	eee	eee	eee	eee	University of Pennsylvania - Rare Book and Manuscript Librar	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=421&fileloc=421_hdllocgovlocgmdeadgmdgm0200102	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/collection/data/143_vorocdliborgoaceadprime2002berkeleybancroftmze1_cubancxml?p=1&q=logwood	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=422&fileloc=422_ss3amazonawscomharvardeadlaw00222xml	oclc	eee	eee	eee	eee	eee	eee	eee	Harvard University Law School - Historical and Special Collections	mmm	eee		eee																
mmm	logwood	https://researchworks.oclc.org/archivegrid/fa.php?id=421&fileloc=421_hdllocgovlocmsseadmssms0080072	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""honduras yucatan""~2"	https://researchworks.oclc.org/archivegrid/collection/data/719390511?p=1&q=%22honduras+yucatan%22%7E2	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""honduras yucatan""~2"	https://researchworks.oclc.org/archivegrid/fa.php?id=678&fileloc=678_swwwpennmuseumcollectionsarchivesfindingaid552904	oclc	eee	eee	eee	eee	eee	eee	eee	University of Pennsylvania - Museum Library	mmm	eee		eee																
mmm	"""honduras yucatan""~2"	https://researchworks.oclc.org/archivegrid/fa.php?id=87&fileloc=87_sarchiveslibpurdueedurepositories2resources341	oclc	eee	eee	eee	eee	eee	eee	eee	Purdue University - Virginia Kelly Karnes Archives and Special Collections Research Center	mmm	eee		eee																
mmm	"""honduras yucatan""~2"	https://researchworks.oclc.org/archivegrid/fa.php?id=10520&fileloc=10520_sforesthistoryorgresearchexplorearchiveslibraryfhsarchivalcollectionsinventoryfwilliamburleycollectionbelize19251995	oclc	eee	eee	eee	eee	eee	eee	eee	Forest History Society 	mmm	eee		eee																
mmm	"""honduras yucatan""~2"	https://researchworks.oclc.org/archivegrid/collection/data/215472623?p=1&q=%22honduras+yucatan%22%7E2	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
mmm	"""honduras yucatan""~2"	https://researchworks.oclc.org/archivegrid/fa.php?id=436&fileloc=436_sdlalibraryupennedudlapacscleadhtmlstart600rows300fqrepository_facet3a22university20of20pennsylvania3a20kislak20center20for20special20collections2c20rare20books20and20manuscripts22idpacscl_upenn_rbml_puspprintcollection23	oclc	eee	eee	eee	eee	eee	eee	eee	mmm	mmm	eee		eee																
