C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	REPOSITORY	CITY	COUNTRY	VIA	NOTE	LINK	
		P	Lon 79	1763	1779	1	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ..."	London	UK	1779	1779				Gale / Sabin Americana	Printed for T. Cadell		
		P	Lon 90 Narrative	1790	1790	1	"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790"	London	UK	1790	1790				Gale / Sabin Americana			
		P	APC Col	1613	1783	6	Act of the Privy Council of England : colonial series	London	UK	1908	1912				Burdon 1			
		P	Burdon d	1587	xxx	3	Archives of British Honduras	London	UK	1931	1935							
		P	BTPJ	1704	1782	14	"Board of Trade and Plantations, Journal"	London	UK	1920	1938							
		P	FSP	1373	1974	170	British and Foreign State Papers	London	UK	1841	1977				Burdon 1			
		P	CSPC	1574	1739	41	"Calendar of State Papers, Colonial, America and West Indies"	London	UK	1860	1994							
		P	Cogolludo	1506	1656	1	Historia de Yucathan	Madrid	Spain	1688	1688							
		P	Harlow	1642	1645	1	"Camden Miscellany, volume XIII, The voyages of Captain William Jackson, 1642-5  
"	London	UK	1924	1924				RHS Catalogue	"= Camden Third Series, volume XXXIV /RHS Catalogue Link: https://royalhistsoc.org/publications/camden-series/ "		
		P	Lon 43	xxx		1	"Certaine inducements to well minded people, who are heere straitned in their estates or otherwise or such as are willing out of noble and pub[l]ique principles, to tran[s]port themselves, or servants, or agents for them into the West-Indies, for the propagating the Gospell, and increase of trade."	London	UK	1643	1643				ProQuest / Early English Books Online			
		P	CDIE	xxx		113	Colección de documentos inéditos para la historia de España	Madrid	Spain	1842	1895					112 vols [1842–95] mentioned in some literature /eg Díaz-Trechuelo Spínola 1970 Link: http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/america-en-la-coleccion-de-documentos-ineditos/docview/1300364864/se-2?accountid=11311 		
