C1—30 / Online collections of archival material.
ID	NO	ALT ID	AUTHORS	EDITORS	TRANSLATORS	V	CURRENT	FIRST	CITY	COUNTRY	TITLE	NOTE	LINK	
		Strong		American Historical Association			1899	1899	Washington	USA	Annual Report of the American Historical Association for the year 1898	H.Doc.295	https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
		Molina 1	J. F. Molina Solís			1	1904	1904	Merida	Mexico	Historia de Yucatán durante la dominación española vol 1		http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/	
		Molina 2	J. F. Molina Solís			2	1904	1904	Merida	Mexico	Historia de Yucatán durante la dominación española vol 2		http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/	
		Molina 3	J. F. Molina Solís			3	1904	1904	Merida	Mexico	Historia de Yucatán durante la dominación española vol 3		http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/	
		Bristow	J. L. Bristow				1905	1905	Washington	USA	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905		"Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905. World Scholar: Latin America & the Caribbean, worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227. Accessed 17 Feb. 2021."	
		Haring	C. H. Haring				1910	1910	London	UK	Buccaneers in the West Indies in the Seventeenth Century		http://www.gutenberg.org/ebooks/19139	
		Newton	A. P. Newton			1	1914	1914	London	UK	The Colonising Activities of the English Puritans		http://www.llmcdigital.org.ezp-prod1.hul.harvard.edu/default.aspx?redir=31970	
		Forbes	S. Forbes	E. W. Williams			1920	1915	London	UK	The Baymen of Belize and how they wrested British Honduras from the Spaniards		https://ufdc.ufl.edu/UF00095345/00001	
		Jameson	xxx	J. F. James			1923	1923	New York	USA	Privateering and Piracy in the Colonial Period: Illustrative Documents		http://www.gutenberg.org/files/24882/24882-h/24882-h.htm	
		Roberts	W. A. Roberts				1933	1933	New York	USA	"Sir Henry Morgan, buccaneer and governor"		https://hdl.handle.net/2027/mdp.39015021845162	
		Burdon 1	J. A. Burdon			1	1935	1935	London	UK	Archives of British Honduras		"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf"	
		Burdon 2	J. A. Burdon			2	1935	1935	London	UK	Archives of British Honduras		"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf"	
		Burdon 3	J. A. Burdon			3	1935	1935	London	UK	Archives of British Honduras		file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf	
		Roys 1	R. L. Roys				1939	1939	Washington	USA	The Titles of Ebtun		https://hdl.handle.net/2027/txu.059173022901217	
		Calderon	J. A. Calderón Quijano				1944	1944	Seville	Spain	Belice 1663 (?)-1821 	img 1202 = contents	http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/	
		Winzerling	E. O. Winzerling				1946	1946	New York	USA	"The Beginning of British Honduras, 1506-1765"		https://ufdc.ufl.edu/UF00099216/00001	
		US BC	xxx	xxx			1975	1949	Washington	USA	"Bicentennial Edition: Historical Statistics of the United States, Colonial Times to 1970"		https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html	
		Roys 2	R. L. Roys				1957	1957	Washington	USA	The Political Geography of the Yucatan Maya		https://hdl.handle.net/2027/uva.x000422247	
		Crawford	M. J. Crawford			10	1964	1964	Washington	USA	Naval Documents of the American Revolution 10		https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
		Goslinga	C. C. Goslinga				1971	1971	Assen	Netherlands	The Dutch in the Caribbean		file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf	
		MacLeod	M. J. MacLeod				2008	1973	Berkeley	USA	"Spanish Central America: A Socioeconomic History, 1520–1720"		https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035	
		McCusker	J. J. McCusker				1978	1978	London	UK	"Money and exchange in Europe and America, 1600-1775: a handbook"		"file:///Users/angelnavidad/Downloads/John%20J.%20McCusker%20(auth.)%20-%20Money%20and%20Exchange%20in%20Europe%20and%20America,%201600–1775_%20A%20Handbook-Palgrave%20Macmillan%20UK%20(1978).pdf"	
		Gerhard	P. Gerhard				1993	1979	London	UK	The Southeast Frontier of New Spain		file:///Users/angelnavidad/Downloads/Peter%20Gerhard%20-%20The%20Southeast%20Frontier%20of%20New%20Spain-University%20of%20Oklahoma%20Press%20(1993).pdf	
		Craton	M. Craton				2009	1982	Ithaca	USA	Testing the chains: resistance to slavery in the British West Indies		https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568	
		Morgan	W. J. Morgan			7	1986	1986	Washington	USA	Naval Documents of the American Revolution 7		https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
