Table 1
Series T 0—300 / Trade.																																																									
ID	NO	YR	LOG T ENG F ALL	Q	CF	LOG T JAM F ALL	Q	CF	LOG T BOS F ALL	Q	CF	LOG T NYC F ALL	Q	CF	ALL T ENG F SWI	LOG T ENG F SWI	MAH T ENG F SWI	CF	ALL T ENG F HON	LOG T ENG F HON	MAH T ENG F HON	CF	ALL T ENG F MOS	LOG T ENG F MOS	MAH T ENG F MOS	CF	ALL T SCOT F HON	LOG T SCOT F HON	MAH T SCOT F HON	CF	ALL T GB F FWI	LOG T GB F FWI	MAH T GB F FWI	CF	ALL T GB F BWI	LOG T GB F BWI	MAH T GB F BWI	CF	ALL T GB F HON	LOG T GB F HON	MAH T GB F HON	CF	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	ALL T HON F ALL	ALL T ALL F HON	ALL T ALL F HON REEXP	ALL T HON F GB	ALL T GB F HON	CF	NOTE	
T 109	109	1779	"4,403.45"	4.0	CUST 3/79														" £	10,690.08 "	" £	2,920.20 "	" £	6,682.00 "	CUST 3/79	" £	48.61 "	" £	-  "	" £	-  "	CUST 3/79									" £	349,527.15 "	" £	2,918.20 "	" £	6,607.00 "	CUST 17/6																			
T 110	110	1780	"4,296.05"	4.0	CUST 3/80														" £	14.05 "	" £	-  "	" £	-  "	CUST 3/80	" £	1,527.15 "	" £	540.00 "	" £	192.00 "	CUST 3/80									" £	262,111.95 "	" £	570.00 "	" £	192.00 "	CUST 17/6																			
T 111	111	1781	"3,056.68"	4.0	CUST 17/7																														" £	248,897.89 "	" £	35.70 "	" £	-  "	CUST 17/7																			
T 112	112	1782	"1,440.60"	4.0	CUST 17/7																														" £	562,790.33 "	" £	11.87 "	" £	194.00 "	CUST 17/7																			
T 113	113	1783	"1,140.45"	4.0	CUST 17/8																						" £	1,240.00 "	" £	140.00 "	" £	1,100.00 "	CUST 14/4					" £	474,456.00 "	" £	52.88 "	" £	650.00 "	CUST 17/8																			
T 114	114	1784	"2,323.39"	4.0	CUST 17/8																														" £	388,920.07 "	" £	1,200.00 "	" £	12,788.75 "	CUST 17/8																			
T 115	115	1785	"11,683.07"	4.0	CUST 17/9																						" £	825.00 "	" £	-  "	" £	825.00 "	CUST 14/5					" £	426,730.18 "	" £	6,410.37 "	" £	41,136.36 "	CUST 17/9																			
T 116	116	1786	"15,471.54"	4.0	CUST 17/9																														" £	381,286.61 "	" £	10,815.76 "	" £	44,358.89 "	CUST 17/9																			
T 117	117	1787	"8,795.04"	4.0	CUST 17/10																						" £	3,868.97 "	" £	55.21 "	" £	3,813.78 "	CUST 14/6					" £	508,524.82 "	" £	16,036.61 "	" £	75,609.57 "	CUST 17/10																			
T 118	118	1788	"6,333.87"	4.0	CUST 17/10																						" £	8,071.71 "	" £	392.00 "	" £	7,587.30 "	CUST 14/7									" £	279,428.08 "	" £	20,348.15 "	" £	189,340.40 "	CUST 17/10															
