Table 1
		fm All	to All	to All Re	fm GB	to GB	Rev	Exp	Exp Ln	Debt				f All	t All	t All Re	f GB	t GB
Auth Yr	Yr	L	L	L	L	L	L	L	L	L	Notes	FX	FX £	$	$	$	$	
	1934	379000	174000	125000			129000	168000	7000	614000		0.4.1(1/3)	0.218472222222222	1734774.3165925	796439.923712652	572155.117609664		
	1935	535000	186000	151000			279000	278000		638000		0.4.1(1/3)	0.218472222222222	2448823.90336936	851366.81500318	691163.382072474		
																		
Cmd. 6140	1934	375000	172000	123000							Imports exports valued as above	0.4.1(1/3)	0.218472222222222	1716465.35282899	787285.441830897	563000.635727909		
	1935	546000	190000	155000								0.4.1(1/3)	0.218472222222222	2499173.55371901	869675.778766689	709472.345835983		
	1936	658000	270000	208000								0.4.1(1/3)	0.218472222222222	3011824.53909727	1235855.05403687	952066.11570248		
	1937	804000	287000	233000								0.4.1(1/3)	0.218472222222222	3680101.71646536	1313668.15003179	1066497.13922441		
	1938	809000	367000	289000								0.4.1(1/3)	0.218472222222222	3702987.92116974	1679847.42530197	1322822.63191354		
																		
Cmd. 7224	1936	658000	270000	208000								?						
	1937	801000	286000	232000														
	1938	821000	372000	293000														
	1939	795000	311000	245000														
	1940	823000	402000	349000														
	1941	931000	439000	394000														
	1942	983000	311000	323000														
	1943	1410000	441000	488000														
	1944	1827000	462000	1049000														
	1945	1944000	490000	731000														
																		
Cmd. 8051	1945											?						
	1946	1683000	872000	424000														
	1947	2148000	1053000	471000														
																		
Cmd. 7167	1937						314000	310000			B$ pegged to US$; p 104	B$ 4.94 to 1.0.0L	4.94					
	1938						356000	383000			"Figs in sterling, for calendar years"	4.89	4.89					
	1939	792000	565000				441000	441000				4.46	4.46	3532320	2519900			
	1940	823000	754000				436000	418000				4.03	4.03	3316690	3038620			
	1941	931000	833000				391000	378000				4.03	4.03	3751930	3356990			
	1942	984000	634000				409000	406000				4.03	4.03	3965520	2555020			
	1943	1411000	929000				466000	456000				4.03	4.03	5686330	3743870			
	1944	1827000	1510000				623000	611000				4.03	4.03	7362810	6085300			
	1945	1945000	1221000				622000	628000				4.03	4.03	7838350	4920630			
	1946	1683000	1296000				620000	654000				4.03	4.03	6782490	5222880			
																		
Cmd. 6607	1938									641708	Avg 1936-38 = 43402; figs in Sterling	B$ 4.80 to 1.0.0L	4.8					
