Table 1
	S$ to Lsd	G$ to Lsd	Population	Imports All	Exports All	Exports to UK	Imports from UK	Spending	Loan spending	Debt outstanding	Spending £	Imports £	Exports £	CPI £	Spending 2020	Imports 2020	Exports 2020	GDP USD	USD to £	GDP 2020	Spending pc	Imports pc	Exports pc	SPENDING	IMPORTS	EXPORTS
1940				823000	754000			B1363796.34			338411	823000	754000	20	18574743	45172922	41385642							47649539	115881488	106166029
1941				931000	833000			B1217122.31			302015	931000	833000	22	14948956	46082006	41231269							38348357	118213550	105770019
1942				983000	634000			B1640387			407044	983000	634000	24	18804412	45412143	29289215							48238704	116495158	75135229
1943				1410000	929000							1410000	929000	25		63037234	41533043								161708568	106544156
1944				1827000	1511000			B2249700			558238	1827000	1511000	26	24272198	79437960	65698280							62265142	203781130	168534914
1945				1944000	1221000			B2399764			595475	1944000	1221000	26	25199499	82266815	51670669							64643937	211037954	132550073
1946				1683000	1296000							1683000	1296000	27		69111460	53219520								177290698	136523318
1947				2148000	1525000			B2909985			722081	2148000	1525000	29	27702412	82407388	58506176							71064624	211398564	150085107
1948				B7669906	B6142601			B3394916			842411	1903202	1524219	31	30032626	67850698	54339619							77042292	174056483	139396693
1949				B5620605	B4565847			B3847374			954683	1394691	1132965	32	33077989	48323430	39255096							84854520	123963446	100700570
1950				B8782607	B4756647			B5415752			1353938	2195652	1189162	33	45489855	73769907	39953673							116694513	189240949	102492619
1951				B12407332	B6234131			B4441305			1110326	3101833	1558533	36	34196198	95531287	48000211							87723046	245065124	123134296
1952				B12671851	B6189987			B4907330			1226833	3167963	1547497	39	34611661	89375242	43658309							88788827	229273106	111996073
1953				B11764015	B7490907			B5528355			1382089	2941004	1872727	41	37836471	80513790	51268322							97061390	206540942	131517937
1954				B11409568	B7287826			B5339679			1334920	2852392	1821957	41	35837262	76575329	48912253							91932846	196437662	125473944
1955				B14339799	B8186875			B5694732			1423683	3584950	2046719	43	36623997	92222208	52651484							93951048	236576390	135066143
1956				B15850630	B9973040			B6702208			1675552	3962658	2493260	45	41009967	96988011	61023777							105202318	248802038	156543474
1957				B15108063	B8943401			B8002687			2000672	3777016	2235850	47	47296904	89290585	52856644							121330111	229055936	135592438
1958				B18516241	B9087875			B9262267			2315567	4629060	2271969	48	53044659	106041824	52045922							136074749	272027663	133512704
1959								B10401434			2600359			49	59323487									152181744		
1960				B18783607	B11227455			B9365721			2341430	4695902	2806864	49	52872452	106039391	63382528	28071889	0	225780768				135632989	272021423	162594346
1961				B22708464	B12402302			B9316775			2329194	5677116	3100576	51	50836029	123906409	67671891	29964371	0	233386826				130408981	317855444	173597792
1962				B31202647	B12380520			B11958069			2989517	7800662	3095130	53	62539573	163186900	64748952	31856923	0	237356087				160431924	418621159	166099614
1963				B27553446	B18571994			B17219056			4304764	6888362	4642999	54	88386371	141433369	95331077	33749405	0	247480264				226736368	362817118	244551529
1964				B33900819				B12676880			3169220	8475205		56	62972061	168401407		36193826	0	257571974				161541380	431997863	
1965				B34987986				B13507637			3376909	8746997		58	64111547	166064125		40069930	0	272099461				164464489	426002065	
1966				B38761885	B19192693			B15661783			3915446	9690471	4798173	61	71519132	177005158	87642942	44405594	0	290407505				183467067	454068950	224829261
1967				B36951914	B17462062			B15480044			3870011	9237979	4365516	62	68873772	164406361	77692161	47379310	0	307671738				176680960	421749425	199302656
1968														65				44910180	0	319045576						
1969														69				47305389	0	319389986						
1970				U12300000				B15153639						73				53233533	0	336995468						
1971				U15700000				B16107850						80				59207317	0	335750580						
1972				U21200000										86				66062500	0	342142360						
1973				U31400000				B19823758						94				78343558	0	379040677						
1974				U44900000				B21688923						109				103216374	0	450913069						
1975				U59500000										135				118066298	0	439284749						
1976				U47500000										157				96905830	1	380754407						
1977				U65300000										182				117650000	1	410703474						
1978				U69000000										197				136300000	1	399837264						
1979				U83800000										224				151800000	0	355469089						
1980				U88800000										264	55355095	205508594	160958574	197938222	0	358081796	15	57	45	142001680	527188430	412904865
1981				U96700000										295	60562064	231415569	159045957	196089855	0	367027955	17	63	43	155359048	593647244	407998453
1982				U84200000										320	67832283	213330132	140659154	182206327	1	361236489	19	59	39	174009244	547252918	360831035
1983														335	79020073	228237079	167121694	192103186	1	419577401	19	54	40	202709130	585493506	428715033
1984														352	90636285	298152909	257405444	214381949	1	507900662	18	59	51	232508042	764847645	660318722
1985														373	93564472	252214097	193476026	212643743	1	491813472	19	51	39	240019682	647001428	496321446
1986														386	83823825	220769038	204495898	231638321	1	453903041	18	49	45	215032129	566335842	524590574
1987														402	76296673	248353205	232657387	281082559	1	474103413	16	52	49	195722828	637097136	596832865
1988														422	70693357	269537291	238063598	320093360	1	473082874	15	57	50	181348716	691440386	610701344
1989														455	75438010	316473666	257901115	369133891	1	550559768	14	57	47	193520111	811845638	661590261
1990														498	67127150	265192980	253264755	412086445	1	517208012	13	51	49	172200375	680295982	649696668
1991														527	69511599		231705331	444720750	1	531155509	13		44	178317171		594390569
1992														546	81035600	317105392	297931349	518239100	1	599225020	14	53	50	207879535	813466195	764279281
