Table 1
	Treasury Hon								Market							
	Sp $	US $	Hon $	Hon £	£	d	Cf	N	Sp $	Jam £	Jd 78	Jd 93	£	Par	Cf	N
1754	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1755	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1756	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1757	"BZD	1.00"			"£	0.31"	"£	0.22"		Lon 1978		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"Lon 1978
Lon 1893"	
1758	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	"> 11 Nov; by Act, legally set at Sp silver $ 1 = 6s 8d"
1759	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1760	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1761	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1762	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1763	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1764	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1765	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978	"Accts in Jamaica currency, inferred from Burnaby’s Code"	"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1766	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1767	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1768	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1769	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1770	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1771	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1772	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1773	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	"> 31 Dec, Act had effect of increasing FX “soon after”"
1774	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1775	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1776	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1777	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1778	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1779	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1780	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1781	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1782	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1783	"BZD	1.00"			"£	1.28"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1784	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978	Accts only in Jamaica currency > 12 Jun; Chalmers 1893 p 140	"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1785	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1978		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1786	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1893		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1787	"BZD	1.00"			"£	0.32"	"£	0.23"		Lon 1893		"BZD	1.00"	"£	0.32"	75	78	"£	0.23"	140	"Lon 1978
Lon 1893"	
1788	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1789	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1790	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1791	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1792	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1793	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1794	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1795	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1796	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1797	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1798	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1799	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1800	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1801	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1802	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1803	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1804	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1805	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1806	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1807	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
1808	"BZD	1.00"			"£	0.33"	"£	0.20"		Lon 1893		"BZD	1.00"	"£	0.33"		80	"£	0.20"	167	Lon 1893	
