C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	Coxe	1700	1788	3	"Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788. Drawn from the original and unpublished documents"	London	UK	1813	1813		First ed in 3 vols / Second ed 1815 in 5 vols / Sp ed 1846–47 in 4 vols Link v 1: https://www.google.com/books/edition/_/j02dtXJSvHgC?hl=en&gbpv=1	http://nrs.harvard.edu/urn-3:HUL.FIG:004500016	
		P	Lon 62	xxx		3	"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ..."	London	UK	1762	1762	Gale / Sabin Americana	Printed for A. Millar [etc.]	"Gale/Sabin Americana v1: https://link.gale.com/apps/doc/CY0103933433/SABN?u=camb55135&sid=SABN&xid=1c2f0c88
Gale/Sabin Americana v2: https://link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b 
Gale/Sabin Americana v3: https://link.gale.com/apps/doc/CY0103934111/SABN?u=camb55135&sid=SABN&xid=0aef762d"	
		P	Johnson	1629	1724	2	A General History of the Robberies and Murders of the most notorious Pyrates	London	UK	1724	1724		Capt Charles Johnson alias Daniel Defoe?	"Gale/ECCO: https://link.gale.com/apps/doc/CW0103162468/ECCO?u=camb55135&sid=ECCO&xid=c44a58e0
Gutenberg: http://www.gutenberg.org/files/40580/40580-h/40580-h.htm "	
		P	Burke	xxx		2	An Account of the European Settlements in America	London	UK	1757	1757		Printed for R. and J. Dodsley ...	"HathiTrust v1: https://hdl.handle.net/2027/nnc2.ark:/13960/t51g2s09x
HathiTrust v2: https://hdl.handle.net/2027/nnc2.ark:/13960/t5q83cw18"	
		P	Catesby	xxx		2	"Natural History of Carolina, Florida and the Bahama Islands"	London	UK	1731	1743		Printed by Benjamin White	xxx	
		P	Edwards	xxx		2	"The History, Civil and Commercial, of the British Colonies in the West Indies"	London	UK	1793	1793		Printed for John Stockdale	"Gale/ECCO v1: https://link.gale.com/apps/doc/CW0103748193/ECCO?u=camb55135&sid=ECCO&xid=ed813523
Gale/ECCO v2: https://link.gale.com/apps/doc/CW0103748733/ECCO?u=camb55135&sid=ECCO&xid=d31d617d"	
		P	Sloane	xxx		2	"A voyage to the islands Madera, Barbados, Nieves, S. Christophers and Jamaica, : with the natural history of the Herbs and Trees, Four-Footed Beasts, Fishes, Birds, Insects, Reptiles, &c. of the last of those islands; to which is prefix'd an introduction, wherein is an account of the inhabitants, air, waters, diseases, trade, &c. of that Place, with some Relations concerning the Neighbouring Continent, and Islands of America. Illustrated with the figures of the things describ'd, which have not been heretofore engraved; In large Copper-Plates as big as the Life."	London	UK	1707				"v 1: https://link.gale.com/apps/doc/CW0101368735/ECCO?u=camb55135&sid=ECCO&xid=46a5e1e9&pg=1
v 2: https://link.gale.com/apps/doc/CW0101369488/ECCO?u=camb55135&sid=ECCO&xid=35d52638&pg=1"	
		P	Stephens	xxx		2	"Incidents of travel in Central America, Chiapas, and Yucatan"	London	UK	1841	1841			"Google v1: https://www.google.com/books/edition/Incidents_of_Travel_in_Central_America_C/4y8TAAAAYAAJ?hl=en
Google v2: https://www.google.com/books/edition/_/Pu0MAAAAIAAJ?hl=en&sa=X&ved=2ahUKEwiUoq-n-rvwAhVlUN8KHbXYASEQ8fIDegQIARAD"	
		P	Lon 24	1814	1824	1	"The defence, &c. &c."	London	UK	1824	1824	Gale / Slavery and Anti-Slavery	"= Defence of the settlers of Honduras, Printed by A. J. Valpy"	https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f	
		P	Lon 90 Narrative	1790	1790	1	"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790"	London	UK	1790	1790	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c	
		P	Lon 79	1763	1779	1	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ..."	London	UK	1779	1779	Gale / Sabin Americana	Printed for T. Cadell	https://link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb	
		P	Cook	1765	1765	1	"Remarks on a passage from the River Balise, in the Bay of Honduras, to Merida; the Capital of the Province of jucatan, In the Spanish West Indies"	London	UK	1769	1769			https://link.gale.com/apps/doc/CW0125214000/ECCO?u=camb55135&sid=ECCO&xid=5b3033ca&pg=1	
		P	Honestus	1739	1741	1	"The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend"	London	UK	1741	1741		"Printed for J. Roberts, ..."	https://link.gale.com/apps/doc/U0100790139/MOME?u=camb55135&sid=MOME&xid=a90ee074	
		P	Lon 29	1725	1729	1	Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad	London	UK	1729	1729	Gale / Sabin Americana	Printed and sold by J. Roberts	https://link.gale.com/apps/doc/U0100653813/MOME?u=camb55135&sid=MOME&xid=1322953b	
		P	Harlow	1642	1645	1	"Camden Miscellany, volume XIII, The voyages of Captain William Jackson, 1642-5  
"	London	UK	1924	1924	RHS Catalogue	"= Camden Third Series, volume XXXIV /RHS Catalogue Link: https://royalhistsoc.org/publications/camden-series/ "	file:///Users/angelnavidad/Downloads/harlow1924.pdf	
		P	Gage	1625	1637	1	"The English-American, his travail by sea and land"	London	UK	1648	1648	Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/english-american-his-travail-sea-land-new-survey/docview/2248525331/se-2?accountid=11311	
		P	Armstrong	xxx		1	"A candid examination of ""The defense of the settlers of Honduras"" : or, A fair inquiry into the truth and justice of their accusations against Colonel George Arthur, late Superintendent of that settlement"	London	UK	1824	1824		Printed for J. Butterworth and son	https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc	
		P	Ashton	xxx		1	"Ashton's memorial : An history of the strange adventures, and signal deliverances, of Mr. Philip Ashton, who, after he had made his escape from the pirates, liv'd alone on a desolate island for about sixteen months, &c. : With a short account of Mr. Nicholas Merritt, who was taken at the same time. : To which is added a sermon on Dan. 3. 17."	London	UK	1725	1725			https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2F82DC25AC64D8&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	
		P	Atkins	xxx		1	"Voyage to Guinea, Brazil and the West Indies in HMS Swallow and Weymouth"	London	UK	1735	1735			https://archive.org/details/voyagetoguineabr00atki	
		P	Castell	xxx		1	"A short discoverie of the coasts and continent of America, from the equinoctiall northward, and the adjacent isles"	London	UK	1644	1644	Oxford DNB		http://search.proquest.com.ezp-prod1.hul.harvard.edu/books/short-discoverie-coasts-continent-america/docview/2240968812/se-2?accountid=11311	
