Series L 0—382 / Currency and exchange.
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 73	73	1711	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 74	74	1712	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 75	75	1713	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 76	76	1714	"BZD	1.00"			"£	0.30"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.30"	72	72	"£	0.23"	133	"McCusker
Chalmers"	
L 77	77	1715	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	1707 < change from 5s to 6s 3p < 1722; so set at midpoint
L 78	78	1716	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	
L 79	79	1717	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	
L 80	80	1718	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	
L 81	81	1719	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	
L 82	82	1720	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	
L 83	83	1721	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	72	75	"£	0.23"	133	"McCusker
Chalmers"	
L 84	84	1722	"BZD	1.00"			"£	0.31"	"£	0.23"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.23"	133	"McCusker
Chalmers"	
L 85	85	1723	"BZD	1.00"			"£	0.31"	"£	0.22"		McCusker		"BZD	1.00"	"£	0.31"	75	75	"£	0.22"	140	"McCusker
Chalmers"	
