Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	
S 		1	P	Codd	xxx		1	vols	"Proceedings of an enquiry and investigation instituted by Major General Codd, His Majesty's Superintendent and Commander-in-Chief at Belize, Honduras. Relative of Poyais."				xxx		1824		xxx					Burdon 3		xxx	
S 68	68	1	P	Cogolludo	1506	1656	1	vols	Historia de Yucathan				Madrid	Spain	1688									"Gallica: https://gallica.bnf.fr/ark:/12148/bpt6k829446
Gale/Sabin: https://link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13"	
S 69	69	1	MS	"CONTRATACION,a"	1492	1795	6337	legajos	Casa de la Contratación	Archivo General de Indias	Seville	Spain										PARES			
S 71	71	1	P	Cook	1765	1765	1	vols	"Remarks on a passage from the River Balise, in the Bay of Honduras, to Merida; the Capital of the Province of jucatan, In the Spanish West Indies"				London	UK	1769									https://link.gale.com/apps/doc/CW0125214000/ECCO?u=camb55135&sid=ECCO&xid=5b3033ca&pg=1	
S 73	73	1	P	Coxe	1700	1788	3	vols	"Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788. Drawn from the original and unpublished documents"				London	UK	1813	1813							First ed in 3 vols / Second ed 1815 in 5 vols / Sp ed 1846–47 in 4 vols Link v 1: https://www.google.com/books/edition/_/j02dtXJSvHgC?hl=en&gbpv=1	http://nrs.harvard.edu/urn-3:HUL.FIG:004500016	
S 74	74	1	S	CP d	1833	2021	xxx		Command Papers				London	UK	1833	2021						ProQuest / UK Parliamentary Papers	"Also cited C. / Cd. / Cmd. / Cmnd. / Cm.
Unnumbered papers excluded
Place of publication assumed"	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
S 		1	MS	CR d	1850	1853	2	vols	Civil Records	Archives and Records Service	Belmopan	Belize										Burdon 3	"d = 1, 2"		
S 76	76	1	P	Crowe	xxx		1	vols	"The gospel in Central America; containing a sketch of the country, physical and geographical, historical and political, moral and religious: a history of the Baptist mission in British Honduras, and of the introduction of the Bible into the Spanish American republic of Guatemala"				London	UK	1850									https://www.google.com/books/edition/The_Gospel_in_Central_America/bbfvrEZZYa4C?hl=en&gbpv=1&printsec=frontcover	
S 77	77	1	P	CSPC	1574	1739	41	vols	"Calendar of State Papers, Colonial, America and West Indies"				London	UK	1860	1994								https://www-british-history-ac-uk.ezp-prod1.hul.harvard.edu/search/series/cal-state-papers--colonial--america-west-indies	
S 78	78	1	MS	"CUBA,a"	1712	1872	2971	legajos	Papeles de Cuba	Archivo General de Indias	Seville	Spain													
