Series S 0—421 / Primary sources which are deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 297	297	1	1	MS	Newb Lib a	0	xxx	xxx	xxx	xxx	Spanish-American Colonial Manuscripts	Newberry Library	Chicago	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://www.newberry.org/node/478 / Ayer Coll: https://collections.carli.illinois.edu/digital/collection/nby_eeayer	xnp	###	
S 145	145	1	1	MS	xxx	0	1768	1794	10	feet	"James Rogers papers, 1768-1794 and undated"	Duke University	Durham	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 143	143	1	1	MS	xxx	0	1666	1825	1	vols	Hotchkin Family Plantation record book	Duke University	Durham	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 141	141	1	1	MS	xxx	0	1536	1996	50	feet	"Frank Baker collection of Wesleyana and British Methodism, 1536-1996 and undated"	Duke University	Durham	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S xxx	xxx	1	1	MS	Liston MS d	0	1756	1832	213	vols	"Papers of Sir Robert Liston, diplomatist"	National Records of Scotland	Edinburgh	UK	np	np	np	np	np	np	np	np	np	np	xnp	NLS Catalogue	https://manuscripts.nls.uk/repositories/2/resources/13381	###	
S xxx	xxx	1	1	MS	xxx	0	1851	1900	74	vols	"Surviving incoming correspondence of the Colonial, Continental and Jewish Mission Committees of the Free Church of Scotland"	National Records of Scotland	Edinburgh	UK	np	np	np	np	np	np	np	np	np	np	xnp	NLS Catalogue	https://manuscripts.nls.uk/repositories/2/resources/18969	###	
S 255	255	1	1	MS	xxx	0	1804	1805	1	items	log of voyage from London to Barbados and the Bay of Honduras	National Records of Scotland	Edinburgh	UK	np	np	np	np	np	np	np	np	np	np	xnp	TNA: http://discovery.nationalarchives.gov.uk/details/r/N13670886	xnp	###	
S 139	139	1	1	MS	xxx	0	1803	1803	1	items	Memorandum on Bay of Honduras	Devon Archives and Local Studies Archive	Exeter	UK	np	np	np	np	np	np	np	np	np	np	xnp	TNA: http://discovery.nationalarchives.gov.uk/details/r/b741fca3-84f6-4b82-b935-3882ada856bc	xnp	###	
S 375	375	1	1	MS	xxx	0	xxx	xxx	xxx	xxx	"Rare Books and Manuscripts, Latin America and Caribbean Collection"	University of Florida	Gainesville	USA	np	np	np	np	np	np	np	np	np	np	xnp	Catalogue Link: https://findingaids.uflib.ufl.edu/repositories/2/classifications/6	xnp	###	
S 147	147	1	1	MS	xxx	0	1862	1863	1	items	William Howard Hooker Collection: H.M.S. Desperate Logbook	East Carolina University	Greenville	USA	np	np	np	np	np	np	np	np	np	np	xnp	Link: http://digital.lib.ecu.edu/1905	xnp	###	
S 249	249	1	1	MS	NMM a	1	xxx	xxx	xxx	xxx	xnp	National Maritime Museum	Greenwich	UK	np	np	np	np	np	np	np	np	np	np	xnp	"Esp Miln Papers = MLN/126, Ship surgeon's reports fm NA & WI Station = MLN/153 /v Rushton 89"	xnp	###	
S 251	251	1	1	MS	xxx	0	1738	1809	xxx	xxx	Navy Board: Bound Out-letters	National Maritime Museum	Greenwich	UK	np	np	np	np	np	np	np	np	np	np	xnp	Ref ADM 354 / TNA Discovery: http://discovery.nationalarchives.gov.uk/details/r/C16344	xnp	###	
S 45	45	1	1	MS	"AGCA, a"	12	1544	1821	xxx	xxx	xnp	Archivo General de Centro América	Guatemala	Guatemala	np	np	np	np	np	np	np	np	np	np	xnp	"Microfilm copy by Ross Publishing LLC, New York, NY, USA Link: https://www.rosspub.com/guatemalaenglishbrochure.htm "	xnp	###	
S 195	195	1	1	P	Kon Bib PK d	3	1486	1853	30000	items	Pamphlets	Koninklijke Bibliotheek	Hague	Netherlands	np	np	np	np	np	np	np	np	np	np	Goslinga	Kon Bib Catalogue Link: https://www.kb.nl/en/resources-research-guides/kb-collections/early-printed-books-until-1801/pamphlets	xnp	###	
S 219	219	1	1	MS	"Old WIC, 1.05.01.01, d"	30	1621	1711	99	items	"Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-1674 (1711)"	Nationaal Archief	Hague	Netherlands	np	np	np	np	np	np	np	np	np	np	NA Hague Inventories	“Inventarisnummers” rendered as “items” / NA Hague Inventories Link: https://www.nationaalarchief.nl/onderzoeken/zoeken?activeTab=archives 	xnp	###	
S 221	221	1	1	MS	"States-General, 1.01.02, d"	5	1431	1796	17734	items	"Inventaris van het archief van de Staten-Generaal, (1431) 1576-1796"	Nationaal Archief	Hague	Netherlands	np	np	np	np	np	np	np	np	np	np	NA Hague Inventories	xnp	xnp	###	
S 133	133	1	1	MS	xxx	0	1803	1805	2	items	Asa Hosmer letters to his daughter Nancy	Connecticut Historical Society	Hartford	USA	np	np	np	np	np	np	np	np	np	np	WorldCat	Not found in CHS Catalogue Link: https://chs.waldo.kohalibrary.com	xnp	###	
S 135	135	1	1	MS	xxx	0	1884	1957	6	feet	James G. Needham papers	Cornell University	Ithaca	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	xnp	###	
S 223	223	1	1	MS	ADM d/d	47	1205	1998	363	series	"Records of the Admiralty, Naval Forces, Royal Marines, Coastguard, and related bodies"	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S xxx	xxx	1	1	MS	BT d/d	0	1697	2002	402	series	Records of the Board of Trade and of successor and related bodies	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S 225	225	1	1	MS	C 110/152	1	1681	1812	1	series	Commercial correspondence and accounts	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	xnp	Particularly Brailsford v Peers records [1681–94]	xnp	###	
S 227	227	1	1	MS	CAB d/d	15	1863	2020	386	series	Records of the Cabinet Office	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S 229	229	1	1	MS	CO d/d	xxx	1570	1990	1073	series	"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	"Hon Blue Books in CO 128 cited BB y / Colonial Reports in CO 1071/38–42 cited Col Rep y / TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "	xnp	###	
S 231	231	1	1	MS	CUST d/d	292	1554	2019	208	series	"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S 233	233	1	1	MS	DEFE d/d	15	1808	2020	238	series	Records of the Ministry of Defence	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
S 235	235	1	1	MS	FCO d/d	20	1878	2019	188	series	Records of the Foreign and Commonwealth Office and predecessors	National Archives	Kew	UK	np	np	np	np	np	np	np	np	np	np	TNA Kew Catalogue	xnp	xnp	###	
