Table 1
Date	Link	Delpher		Address	
24 Aug 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/08/24 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224907:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000658205/GDCS?u=camb55135&sid=GDCS&xid=0abb66f9	
2 Sep 1683	Link	"""VRANCKRYCK."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/09/02 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224913:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001070665/GDCS?u=camb55135&sid=GDCS&xid=2ffadd07	
2 Sep 1683	Link	"""VRANCKRYCK."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/09/02 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224914:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001247773/GDCS?u=camb55135&sid=GDCS&xid=f7d95eef	
7 Sep 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/09/07 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224917:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000352153/GDCS?u=camb55135&sid=GDCS&xid=179617d8	
9 Sep 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/09/09 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224918:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000353875/GDCS?u=camb55135&sid=GDCS&xid=3d92c638	
18 Sep 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/09/18 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224924:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000440235/GDCS?u=camb55135&sid=GDCS&xid=b7dbe92f	
21 Sep 1683	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1683/09/21 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224925:mpeg21:p001"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000682911/GDCS?u=camb55135&sid=GDCS&xid=aeb446db	
5 Oct 1683	Link	"""Madrid den i 6 September. Van Cadix heeft men, dat daer een"". ""Oprechte Haerlemsche courant"". Haerlem, 1683/10/05 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011224934:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000770279/GDCS?u=camb55135&sid=GDCS&xid=2fa1d122	
30 May 1684	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1684/05/30 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225067:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000582847/GDCS?u=camb55135&sid=GDCS&xid=0ad9fbe6	
22 Aug 1684	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1684/08/22 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225115:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000879373/GDCS?u=camb55135&sid=GDCS&xid=cc478762	
17 Oct 1684	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1684/10/17 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225145:mpeg21:p002"	 	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001633801/GDCS?u=camb55135&sid=GDCS&xid=e3d309d8	
19 Oct 1684	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1684/10/19 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225146:mpeg21:p002"	 		
26 Dec 1684	Link	"""Cadix den 27 Nov. Den 14 defer arriveerde in defe Baey 't En-"". ""Oprechte Haerlemsche courant"". Haerlem, 1684/12/26 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225181:mpeg21:p002"	 		
18 Jul 1686	Link	"""WEST-INDIEN."". ""Amsterdamse courant"". Amsterdam, 1686/07/18 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010759034:mpeg21:p001"	 		
31 Aug 1686	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1686/08/31 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225496:mpeg21:p002"	 		
17 Dec 1686	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1686/12/17 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225631:mpeg21:p002"	 		
7 Jan 1687	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/01/07 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225640:mpeg21:p001"	 		
2 Aug 1687	Link	"""MOSCOVIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/08/02 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225533:mpeg21:p002"	 		
2 Sep 1687	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/09/02 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225546:mpeg21:p001"	 		
27 Sep 1687	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/09/27 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225557:mpeg21:p002"	 		
30 Sep 1687	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/09/30 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225558:mpeg21:p002"	 		
14 Oct 1687	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/10/14 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225564:mpeg21:p001"	 		
16 Oct 1687	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1687/10/16 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225565:mpeg21:p001"	 		
23 Dec 1688	Link	"""Amsterdam den zi Étecember.Van Parijs heeft men,dat lOorlog-fthepen van Toulon na dc Levant vertxockcu zijnjenyan Duynkerkea »"". ""Oprechte Haerlemsche courant"". Haerlem, 1688/12/23 00:00:00, p. 4. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011225774:mpeg21:p004"	 		
21 May 1689	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1689/05/21 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226097:mpeg21:p001"	 		
12 Jan 1690	Link	"""NEDERLANDEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1690/01/12 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226132:mpeg21:p002"	 		
17 Jan 1690	Link	"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1690/01/17 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226134:mpeg21:p001"	 		
7 Mar 1690	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1690/03/07 00:00:00, p. 4. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226248:mpeg21:p004"	 		
11 Mar 1690	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1690/03/11 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226253:mpeg21:p002"	 		
14 Mar 1690	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1690/03/14 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226254:mpeg21:p002"	 		
14 Mar 1690	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1690/03/14 00:00:00, p. 4. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226254:mpeg21:p004"	 		
19 Dec 1690	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1690/12/19 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226426:mpeg21:p002"	 		
30 Jun 1691	Link	"""Advertentie"". ""Oprechte Haerlemsche courant"". Haerlem, 1691/06/30 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011226560:mpeg21:p002"	 		
26 Feb 1695	Link	"""NEDERLANDEN."". ""Amsterdamse courant"". Amsterdam, 1695/02/26 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011025707:mpeg21:p002"	Glover’s wreck		
1 Jan 1688	Link	https://gallica.bnf.fr/ark:/12148/bpt6k64416791/f304.image.r=Honduras?rk=107296;4	Pirate attack fm Hon		
			 		
			 		
			 		
			 		
			 		
