Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 60	60	0	P	Chamberlain	R. S. Chamberlain				1					"The conquest and colonization of Yucatan, 1517-1550"				Washington	USA	1948				https://hdl.handle.net/2027/txu.059173008409431	
S 61	61	1	P	Charlevoix			xxx		2					Histoire de l'Isle espagnole ou de S. Domingue				Paris	France	1730	1731			"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k6584020m
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k6582990r"	
S 62	62	1	P	Churchill			xxx		6					A collection of voyages and travels				London	UK	xxx	1732	Finamore 72	"Mosquito Shore voyage in 1699 in v 6, 282–298"	Gale v 6: https://link.gale.com/apps/doc/CY0105640354/SABN?u=camb55135&sid=SABN&xid=7b583057&pg=1	
S 63	63	1	MS	Civil List			1786	1896	1	vols				"British Honduras Civil List, 1895–1896"	Archives and Records Service	Belmopan	Belize					Burdon 2			
S 64	64	1	P	Clayton			xxx		1					"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850"				Washington	USA	1853	1853	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14 	
S 65	65	1	MS	CO d/d			1570	1990	1073	series				"Records of the Colonial Office, Commonwealth and Foreign and Commonwealth Offices, Empire Marketing Board, and related bodies"	National Archives	Kew	UK					TNA Kew Catalogue	"Hon Blue Books in xxx cited BB y
TNA Kew Catalogue, Link: https://discovery.nationalarchives.gov.uk/ "		
S 66	66	1	P	Cockburn			xxx		1					"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... "				London	UK	1740	1740			https://link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230	
S 67	67	1	P	Cockburn			xxx		1					"A journey over land, from the Gulf of Honduras to the great South-Sea. Performed by John Cockburn, and five other Englishmen, viz. Thomas Rounce, Richard Banister, John Holland, Thomas Robinson, and John Ballman; Who were taken by a Spanish Guarda-Costa, in the John and Jane, Edward Burt Master, and set on Shoar at a Place called Forto-Cavalo, naked and wounded, as mentioned in several News-Papers of October, 1731. Containing, Variety of extraordinary Distresses and Adventures, and some New and Useful Discoveries of the Inland of those almost unknown Parts of America: As also, An exact Account of the Manners, Customs, and Behaviour of the several Indians inhabiting a Tract of Land of 2400 Miles; particularly of their Dispositions towards the Spaniards and English. To which is added, a curious piece, written in the reign of King James I. and never before printed, intitled, A brief discoverye of some things best worth noteinge in the travells of Nicholas Withington, a Factor in the East-Indiase"				London	UK	1735	1735		"London : printed for C. Rivington, at the Bible and Crown in St. Paul's Church yard, M.DCC.XXXV. [1735"	https://link.gale.com/apps/doc/CW0102436627/ECCO?u=camb55135&sid=ECCO&xid=807437e6&pg=1	
S 68	68	1	P	Cogolludo			1506	1656	1					Historia de Yucathan				Madrid	Spain	1688	1688			"Gallica: https://gallica.bnf.fr/ark:/12148/bpt6k829446
Gale/Sabin: https://link.gale.com/apps/doc/CY0102936949/SABN?u=camb55135&sid=SABN&xid=fbdf1b13"	
S 69	69	1	MS	"CONTRATACION,a"			1492	1795	6337	legajos				Casa de la Contratación	Archivo General de Indias	Seville	Spain					PARES			
S 70	70	0	A	Contreras	A. C. Contreras Sanchez						Historia Mexicana	37	1	"El palo de tinte, motivo de un conflicto entre dos naciones"						1987				https://historiamexicana.colmex.mx/index.php/RHM/article/view/2034	
S 71	71	1	P	Cook			1765	1765	1					"Remarks on a passage from the River Balise, in the Bay of Honduras, to Merida; the Capital of the Province of jucatan, In the Spanish West Indies"				London	UK	1769	1769			https://link.gale.com/apps/doc/CW0125214000/ECCO?u=camb55135&sid=ECCO&xid=5b3033ca&pg=1	
S 72	72	0	A	Correa	"C. Correa Angulo, A. Ramírez Romero"						Anuario de Estudios Centroamericanos	46		Central American membership: Belize among neighbouring countries						2020				https://doi.org/10.15517/aeca.v46i0.45027	
S 73	73	1	P	Coxe			1700	1788	3					"Memoirs of the kings of Spain of the House of Bourbon, from the accession of Philip V. to the death of Charles III. 1700 to 1788. Drawn from the original and unpublished documents"				London	UK	1813	1813		First ed in 3 vols / Second ed 1815 in 5 vols / Sp ed 1846–47 in 4 vols Link v 1: https://www.google.com/books/edition/_/j02dtXJSvHgC?hl=en&gbpv=1	http://nrs.harvard.edu/urn-3:HUL.FIG:004500016	
S 74	74	1	S	CP d			1833	2021	xxx					Command Papers				London	UK	1833	2021	ProQuest / UK Parliamentary Papers	"Also cited C. / Cd. / Cmd. / Cmnd. / Cm.
Unnumbered papers excluded
Place of publication assumed"	https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/search/basic/hcppbasicsearch?accountid=11311	
S 75	75	0	P	Craton	M. Craton				1					Testing the chains: resistance to slavery in the British West Indies				Ithaca	USA	1982				https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568	
S 76	76	1	P	Crowe			xxx		1					"The gospel in Central America; containing a sketch of the country, physical and geographical, historical and political, moral and religious: a history of the Baptist mission in British Honduras, and of the introduction of the Bible into the Spanish American republic of Guatemala"				London	UK	1850	1850			https://www.google.com/books/edition/The_Gospel_in_Central_America/bbfvrEZZYa4C?hl=en&gbpv=1&printsec=frontcover	
S 77	77	1	P	CSPC			1574	1739	41					"Calendar of State Papers, Colonial, America and West Indies"				London	UK	1860	1994			https://www-british-history-ac-uk.ezp-prod1.hul.harvard.edu/search/series/cal-state-papers--colonial--america-west-indies	
S 78	78	1	MS	"CUBA,a"			1712	1872	2971	legajos				Papeles de Cuba	Archivo General de Indias	Seville	Spain								
S 79	79	1	MS	CUST d/d			1554	2019	208	series				"Records of the Boards of Customs, Excise, and Customs and Excise, and HM Revenue and Customs"	National Archives	Kew	UK					TNA Kew Catalogue			
