Table 1
11 Feb 1751	Link	"New-York Gazette, or Weekly Post-Boy (421)"	"Boston, January 21."		"Boston, January 21. (1751, February 11). New-York Gazette, or Weekly Post-Boy (421)"	"Boston, January 21. (1751, February 11). New-York Gazette, or Weekly Post-Boy (421), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAACB2255E5C48%402360641-10DAACB2552BE430%401-10DAACB31B9DCF18%40Boston%252C%2BJanuary%2B21."
21 Oct 1751	Link	New-York Evening Post (235)	"Boston, October 14."		"Boston, October 14. (1751, October 21). New-York Evening Post (235)"	"Boston, October 14. (1751, October 21). New-York Evening Post (235), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951CEEB9B0F390%402360893-10951CEF0A1B6318%402-10951CEFB720E270%40Boston%252C%2BOctober%2B14."
21 Oct 1751	Link	"New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14."		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4E1C5B8198%402360893-10DAAD4E431D8410%401-10DAAD4EC3940018%40Boston%252C%2BOctober%2B14."
21 Oct 1751	Link	"New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14."		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4A37F0EC40%402360893-10DAAD4A68F19CF8%401-10DAAD4B18548FB8%40Boston%252C%2BOctober%2B14."
21 Oct 1751	Link	"New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14."		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4E1C5B8198%402360893-10DAAD4E431D8410%401-10DAAD4EC3940018%40Boston%252C%2BOctober%2B14."
21 Oct 1751	Link	"New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14."		"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457)"	"Boston, October 14. (1751, October 21). New-York Gazette, or Weekly Post-Boy (457), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD4A37F0EC40%402360893-10DAAD4A68F19CF8%401-10DAAD4B18548FB8%40Boston%252C%2BOctober%2B14."
21 Oct 1751	Link	New-York Evening Post (235)	"Boston, October 14."		"Boston, October 14. (1751, October 21). New-York Evening Post (235)"	"Boston, October 14. (1751, October 21). New-York Evening Post (235), p. [3]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10945F01B361F9F8%40EANX-10951CEEB9B0F390%402360893-10951CEF0A1B6318%402-10951CEFB720E270%40Boston%252C%2BOctober%2B14."
9 Mar 1752	Link	"New-York Gazette, or Weekly Post-Boy (477)"	"Charles-Town, in South-Carolina, February 22."	"Charles-Town, in South-Carolina, February 22. (1752, March 9"	"Charles-Town, in South-Carolina, February 22. (1752, March 9). New-York Gazette, or Weekly Post-Boy (477)"	"Charles-Town, in South-Carolina, February 22. (1752, March 9). New-York Gazette, or Weekly Post-Boy (477), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD81DA873E98%402361033-10DAAD820B3DCAD8%401-10DAAD82EBC5CF80%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BFebruary%2B22."
9 Mar 1752	Link	"New-York Gazette, or Weekly Post-Boy (477)"	"Charles-Town, in South-Carolina, February 22."	"Charles-Town, in South-Carolina, February 22. (1752, March 9"	"Charles-Town, in South-Carolina, February 22. (1752, March 9). New-York Gazette, or Weekly Post-Boy (477)"	"Charles-Town, in South-Carolina, February 22. (1752, March 9). New-York Gazette, or Weekly Post-Boy (477), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD8432D532E8%402361033-10DAAD845D71CFB0%401-10DAAD851C05B8A8%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BFebruary%2B22."
4 May 1752	Link	"New-York Gazette, or Weekly Post-Boy (485)"	"Charles-Town, in South-Carolina, April 6, 1752."	"Charles-Town, in South-Carolina, April 6, 1752. (1752, May 4"	"Charles-Town, in South-Carolina, April 6, 1752. (1752, May 4). New-York Gazette, or Weekly Post-Boy (485)"	"Charles-Town, in South-Carolina, April 6, 1752. (1752, May 4). New-York Gazette, or Weekly Post-Boy (485), p. [2]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10D34AE6B0969558%40EANX-10DAAD96F7E933B0%402361089-10DAAD971C971780%401-10DAAD97DF3E7578%40Charles-Town%252C%2Bin%2BSouth-Carolina%252C%2BApril%2B6%252C%2B1752."
