C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	NO.	UNITS	ITEM	REPOSITORY	CITY	COUNTRY					VIA	NOTE	
		MS	Lib Jam MS d	1655	2017	2521	mss	Manuscript and Archive Collection	National Library of Jamaica	Kingston	Jamaica					Lib Jam Catalogue	Lib Jam Catalogue Link: https://nlj.gov.jm/manuscripts-2/ 	
		MS		xxx		xxx		Manuscript collection	National Museum of the Royal Navy	Portsmouth	UK						https://www.nmrn-portsmouth.org.uk/manuscripts-collection-0	
		MS		1804	1805	1	items	log of voyage from London to Barbados and the Bay of Honduras	National Records of Scotland	Edinburgh	UK						TNA: http://discovery.nationalarchives.gov.uk/details/r/N13670886	
		MS		1728	1733	1	vols	"Account book, 1728-1733, Mss C 5000"	New England Historic Genealogical Society	Boston	USA						http://library.nehgs.org/record=b1064377~S0	
		MS		1920	1993	4	folders	Arthur Alfonso Schomburg collection	New York Public Library	New York	USA							
		MS		1890	1999	215	feet	Robert Jackson Alexander papers	New York Public Library	New York	USA							
		MS		1739	1742	1	vols	Nicholas Stewart daybook	New York Public Library	New York	USA							
		MS		1714	1716	1	vols	Thomas Moffatt correspondence	New York Public Library	New York	USA							
		MS		1483	1876	30.83	feet	Thomas Addis Emmet collection	New York Public Library	New York	USA							
		MS		1662	1788	1	vols	Letters from Jamaica on commercial affairs	New York Public Library	New York	USA							
		MS		1768	1787	1	items	Benjamin Randolph ledger	New York Public Library	New York	USA							
		MS		1746	1888	2	feet	"Squier family papers, 1746-1888 (bulk 1816-1888)"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000801952	
		MS		1847	1894	8	vols	"Papers, 1847-1894 (bulk 1849-1859)"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph000799542	
		MS		1752	1799	6	vols	"Account books, James Beekman"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001514867	
		MS		1870	1890	10	items	"Emile A. Hart papers, between 1870 and 1890?"	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph004228945	
		MS		1769	1785	1	vols	"Account book, [1785?]."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001583291	
		MS		1680	1680	1	item	"Document, 1680, June 22."	New-York Historical Society	New York	USA						https://bobcat.library.nyu.edu/permalink/f/22u4kq/nyu_aleph001451820	
