Table 1
CF	OID	URL	URL	DATE	DATE	SCOPE	MIL	OLD NOTES	NOTES	EXTRACT	
GT 14 ram 1 no 14	c94	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347135	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347135	20 Jun 1618	1618-06-20.	CARTAS DE AUDIENCIA/Dos testimonios de autos sobre los pleitos y querellas que hay contra el fiscal Antonio Coello de Portugal.	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 15	c95	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347136	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347136	20 Jun 1618	1618-06-20.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 16	c97	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347137	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347137	15 Jul 1618	1618-07-15.	"CARTAS DE AUDIENCIA/Carta de Juan Maldonado de Paz, oidor de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 17	c98	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347138	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347138	20 Jul 1618	1618-07-20.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	1	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 18	c99	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347139	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347139	10 Sep 1618	1618-09-10.	"CARTAS DE AUDIENCIA/Decreto del Consejo sobre la pretensión de la iglesia de Guatemala y la de Arequipa sobre lo dejado por el obispo, fray Juan de las Cabezas."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 19	c100	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347140	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347140	2 Oct 1618	1618-10-02.	"CARTAS DE AUDIENCIA/Carta de Galdós de Valencia, oidor de la Audiencia de México."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 20	c101	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347141	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347141	3 Oct 1618	1618-10-03.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 21	c102	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347142	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347142	4 Oct 1618	1618-10-04.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	1	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 22	c104	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347143	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347143	4 Oct 1618	1618-10-04.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 1 no 23	c103	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347144	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347144	4 Oct 1618	1618-10-04.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 24	c105	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347145	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347145	8 Jan 1619	1619-01-08.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 25	c106	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347146	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347146	9 Jan 1619	1619-01-09.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 26	c107	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347147	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347147	9 Jan 1619	1619-01-09.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 27	c108	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347148	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347148	9 Jan 1619	1619-01-09.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 28	c110	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347149	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347149	15 Jun 1619	1619-06-15.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 29	c109	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347150	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347150	15 Jun 1619	1619-06-15.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 30	c111	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347151	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347151	15 Jun 1619	1619-06-15.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 31	c112	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347152	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347152	15 Jun 1619	1619-06-15.	"CARTAS DE AUDIENCIA/Carta de Antonio de Ayala y Rojas, conde de la Gomera, presidente de la Audiencia de Guatemala."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 32	c114	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347153	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347153	17 Jun 1619	1619-06-17.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 33	c113	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347154	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347154	17 Jun 1619	1619-06-17.	CARTAS DE AUDIENCIA/Carta de la Audiencia de Guatemala.	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 34	c115	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347155	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347155	25 Jun 1619	1619-06-25.	"CARTAS DE AUDIENCIA/Expediente de Pedro Marín de Solórzano, receptor general de penas de cámara, sobre la buena administración y cobranza de las mismas."	0	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 44A no 36	c980	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349357	http://pares.mcu.es/ParesBusquedas20/catalogo/description/349357	3 Jul 1619	1619-07-03.	"Cartas de cabildos seculares/Memorial de Alonso Nieto Dorantes, agente de negocios en nombre del cabildo de Trujillo, Honduras, sobre la compra de material de artillería para la defensa del puerto."	1	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 35	c116	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347156	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347156	25 Sep 1619	1619-09-25.	"CARTAS DE AUDIENCIA/Carta de Galdós de Valencia, visitador y oidor de México."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 36	c117	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347157	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347157	30 Sep 1619	1619-09-30.	"CARTAS DE AUDIENCIA/Carta de Gaspar de Zúñiga, oidor de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
GT 14 ram 2 no 37	c119	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347158	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347158	6 Oct 1619	1619-10-06.	"CARTAS DE AUDIENCIA/Carta de Miranda, fiscal interino de la Audiencia de Guatemala."	^^^	^^^	NOTE REVIEWED ON 29 JUL 2022		
